pair,timeframe,direction,entry,exit,entry_time,exit_time,pips,pnl,lots,result,regime,confidence,capital
USD_JPY,H1,BUY,157.31700134277344,157.14578465053015,2024-06-12 09:00:00+00:00,2024-06-12 12:00:00+00:00,-17.1,-121.76,0.99,LOSS,TREND,0.625,10918.74
USD_JPY,H1,BUY,157.93499755859375,157.80106735229492,2024-06-19 16:00:00+00:00,2024-06-19 21:00:00+00:00,-13.4,-123.44,1.25,LOSS,TREND,0.625,10795.3
USD_JPY,H1,SELL,159.10499572753906,157.49650818961007,2024-07-12 08:00:00+00:00,2024-07-12 13:00:00+00:00,160.8,268.79,0.26,WIN,STRONG_TREND,0.625,11064.09
USD_JPY,H1,SELL,156.38999938964844,156.96428516932897,2024-07-18 10:00:00+00:00,2024-07-18 15:00:00+00:00,-57.4,-115.5,0.3,LOSS,TREND,0.625,10948.6
USD_JPY,H1,SELL,151.86399841308594,152.08728899274553,2025-02-11 08:00:00+00:00,2025-02-11 10:00:00+00:00,-22.3,-117.63,0.75,LOSS,RANGING,0.625,10830.97
USD_JPY,H1,BUY,152.7010040283203,152.299864087786,2025-02-14 11:00:00+00:00,2025-02-14 13:00:00+00:00,-40.1,-114.43,0.42,LOSS,TREND,0.625,10716.54
USD_JPY,H1,SELL,146.57200622558594,146.91893550327845,2025-07-24 10:00:00+00:00,2025-07-24 15:00:00+00:00,-34.7,-113.86,0.48,LOSS,STRONG_TREND,0.625,10602.69
USD_JPY,H1,SELL,146.4510040283203,145.87135669163294,2025-09-17 08:00:00+00:00,2025-09-17 18:00:00+00:00,58.0,255.55,0.7,WIN,STRONG_TREND,0.625,10858.23
USD_JPY,H1,BUY,154.09500122070312,153.91896493094308,2025-11-03 14:00:00+00:00,2025-11-03 15:00:00+00:00,-17.6,-119.82,0.95,LOSS,TREND,0.625,10738.42
USD_JPY,H1,BUY,156.29299926757812,156.07229014805384,2025-11-28 07:00:00+00:00,2025-11-28 13:00:00+00:00,-22.1,-116.37,0.75,LOSS,TREND,0.625,10622.05
USD_JPY,H1,BUY,159.78199768066406,160.1358367374965,2026-04-29 08:00:00+00:00,2026-04-29 13:00:00+00:00,35.4,251.04,1.15,WIN,TREND,0.625,10873.09
USD_JPY,H4,SELL,149.85400390625,150.2324322291783,2023-10-19 08:00:00+00:00,2023-10-25 20:00:00+00:00,-37.8,-105.65,0.41,LOSS,STRONG_TREND,0.625,9894.35
USD_JPY,H4,SELL,154.82400512695312,155.03722163609095,2024-04-23 16:00:00+00:00,2024-04-24 12:00:00+00:00,-21.3,-106.71,0.71,LOSS,STRONG_TREND,0.625,9787.65
USD_JPY,H4,SELL,155.8780059814453,156.2854712350028,2024-05-13 08:00:00+00:00,2024-05-14 00:00:00+00:00,-40.7,-102.32,0.37,LOSS,TREND,0.625,9685.32
USD_JPY,H4,SELL,150.40499877929688,151.2049987792969,2024-12-04 12:00:00+00:00,2024-12-09 12:00:00+00:00,-80.0,-101.02,0.19,LOSS,TREND,0.625,9584.3
AUD_USD,M15,BUY,0.7075638175010681,0.7095638175010681,2026-02-10 08:15:00+00:00,2026-02-11 01:45:00+00:00,20.0,227.5,1.25,WIN,STRONG_TREND,0.625,10227.5
AUD_USD,M15,BUY,0.7116424441337585,0.7108424441337585,2026-02-11 09:30:00+00:00,2026-02-11 13:30:00+00:00,-8.0,-125.44,1.28,LOSS,TREND,0.625,10102.06
AUD_USD,M15,BUY,0.7095217704772949,0.7087217704772949,2026-02-16 09:00:00+00:00,2026-02-16 09:30:00+00:00,-8.0,-123.48,1.26,LOSS,TREND,0.625,9978.58
AUD_USD,M15,BUY,0.7085666060447693,0.7077666060447693,2026-02-16 09:30:00+00:00,2026-02-16 14:45:00+00:00,-8.0,-122.5,1.25,LOSS,TREND,0.625,9856.08
AUD_USD,M15,BUY,0.7075137495994568,0.7067137495994568,2026-02-18 08:15:00+00:00,2026-02-18 13:30:00+00:00,-8.0,-120.54,1.23,LOSS,TREND,0.625,9735.54
AUD_USD,M15,BUY,0.7084661722183228,0.7076661722183227,2026-02-23 07:00:00+00:00,2026-02-23 08:00:00+00:00,-8.0,-119.56,1.22,LOSS,STRONG_TREND,0.625,9615.98
AUD_USD,M15,BUY,0.6889377236366272,0.6879232738699231,2026-03-27 15:45:00+00:00,2026-03-27 17:00:00+00:00,-10.1,-113.47,0.95,LOSS,TREND,0.625,9502.51
AUD_USD,M15,BUY,0.6862287521362305,0.6854287521362304,2026-03-30 12:45:00+00:00,2026-03-30 13:30:00+00:00,-8.0,-116.62,1.19,LOSS,TREND,0.625,9385.89
AUD_USD,M15,BUY,0.6910229325294495,0.6902229325294494,2026-04-03 07:00:00+00:00,2026-04-03 12:30:00+00:00,-8.0,-114.66,1.17,LOSS,TREND,0.625,9271.23
AUD_USD,M15,BUY,0.7041112780570984,0.7061112780570984,2026-04-09 11:30:00+00:00,2026-04-09 15:15:00+00:00,20.0,211.12,1.16,WIN,TREND,0.625,9482.35
AUD_USD,M15,BUY,0.7157273888587952,0.7177273888587952,2026-04-20 10:15:00+00:00,2026-04-20 18:00:00+00:00,20.0,216.58,1.19,WIN,TREND,0.625,9698.93
AUD_USD,M15,BUY,0.7134143114089966,0.7154143114089966,2026-04-24 07:45:00+00:00,2026-04-27 00:45:00+00:00,20.0,220.22,1.21,WIN,TREND,0.625,9919.15
AUD_USD,M15,BUY,0.7164350152015686,0.7156350152015686,2026-04-29 12:15:00+00:00,2026-04-29 13:15:00+00:00,-8.0,-121.52,1.24,LOSS,TREND,0.625,9797.63
AUD_USD,H1,SELL,0.6321112513542175,0.6338221941675458,2023-10-20 16:00:00+00:00,2023-10-23 15:00:00+00:00,-17.1,-109.67,0.58,LOSS,STRONG_TREND,0.625,9890.33
AUD_USD,H1,BUY,0.6509484648704529,0.6496418969971793,2023-11-06 11:00:00+00:00,2023-11-06 15:00:00+00:00,-13.1,-112.98,0.76,LOSS,STRONG_TREND,0.625,9777.35
AUD_USD,H1,BUY,0.6451488137245178,0.6483128783958299,2024-04-23 10:00:00+00:00,2024-04-23 14:00:00+00:00,31.6,229.77,0.77,WIN,STRONG_TREND,0.625,10007.12
AUD_USD,H1,BUY,0.6618483662605286,0.6643655076622963,2024-05-14 12:00:00+00:00,2024-05-15 02:00:00+00:00,25.2,231.38,0.99,WIN,TREND,0.625,10238.5
AUD_USD,H1,BUY,0.6632487177848816,0.6662232556513378,2024-05-31 07:00:00+00:00,2024-05-31 12:00:00+00:00,29.7,240.33,0.86,WIN,TREND,0.625,10478.83
AUD_USD,H1,BUY,0.665916383266449,0.6648592672177723,2024-06-07 10:00:00+00:00,2024-06-07 12:00:00+00:00,-10.6,-122.47,0.99,LOSS,STRONG_TREND,0.625,10356.35
AUD_USD,H1,SELL,0.6651280522346497,0.6669610738754272,2024-06-26 14:00:00+00:00,2024-06-27 06:00:00+00:00,-18.3,-112.73,0.56,LOSS,STRONG_TREND,0.625,10243.62
AUD_USD,H1,BUY,0.6742770075798035,0.6731384737151009,2024-07-09 07:00:00+00:00,2024-07-09 12:00:00+00:00,-11.4,-118.67,0.9,LOSS,TREND,0.625,10124.95
AUD_USD,H1,BUY,0.6743316054344177,0.6730505313192096,2024-08-21 13:00:00+00:00,2024-08-22 02:00:00+00:00,-12.8,-115.42,0.79,LOSS,TREND,0.625,10009.53
AUD_USD,H1,BUY,0.6812916994094849,0.6798244799886431,2024-09-20 10:00:00+00:00,2024-09-20 13:00:00+00:00,-14.7,-112.01,0.68,LOSS,TREND,0.625,9897.52
AUD_USD,H1,SELL,0.6607638597488403,0.6575823766844613,2024-10-28 13:00:00+00:00,2024-10-29 00:00:00+00:00,31.8,234.12,0.78,WIN,STRONG_TREND,0.625,10131.63
AUD_USD,H1,BUY,0.6401310563087463,0.6385948530265263,2025-04-29 10:00:00+00:00,2025-04-29 14:00:00+00:00,-15.4,-113.27,0.66,LOSS,STRONG_TREND,0.625,10018.37
AUD_USD,H1,SELL,0.6550933718681335,0.656174225466592,2025-09-26 17:00:00+00:00,2025-09-29 02:00:00+00:00,-10.8,-117.26,0.93,LOSS,TREND,0.625,9901.11
AUD_USD,H1,BUY,0.6511264443397522,0.6549379910741534,2025-10-24 16:00:00+00:00,2025-10-27 06:00:00+00:00,38.1,236.05,0.65,WIN,TREND,0.625,10137.16
AUD_USD,H1,SELL,0.6481721997261047,0.6491895169019699,2025-11-07 12:00:00+00:00,2025-11-07 13:00:00+00:00,-10.2,-119.73,1.0,LOSS,TREND,0.625,10017.42
AUD_USD,H1,SELL,0.6510416865348816,0.6477706208825111,2025-11-18 13:00:00+00:00,2025-11-19 15:00:00+00:00,32.7,238.01,0.77,WIN,STRONG_TREND,0.625,10255.44
AUD_USD,H1,SELL,0.7035812139511108,0.7062133039746966,2026-03-19 15:00:00+00:00,2026-03-19 18:00:00+00:00,-26.3,-109.67,0.39,LOSS,TREND,0.625,10145.77
AUD_USD,H4,SELL,0.6565082669258118,0.6602412057774407,2023-12-11 08:00:00+00:00,2023-12-12 12:00:00+00:00,-37.3,-105.65,0.27,LOSS,TREND,0.625,9894.35
AUD_USD,H4,BUY,0.6523412466049194,0.6490311516182763,2024-02-15 16:00:00+00:00,2024-02-28 16:00:00+00:00,-33.1,-104.7,0.3,LOSS,TREND,0.625,9789.65
AUD_USD,H4,SELL,0.6286144852638245,0.6318132941211972,2025-03-13 16:00:00+00:00,2025-03-14 12:00:00+00:00,-32.0,-104.74,0.31,LOSS,TREND,0.625,9684.9
AUD_USD,H4,BUY,0.7161527872085571,0.7132466648306165,2026-04-20 08:00:00+00:00,2026-04-21 16:00:00+00:00,-29.1,-101.84,0.33,LOSS,STRONG_TREND,0.625,9583.06
USD_CAD,M15,BUY,1.3574199676513672,1.3556885378701347,2026-02-12 13:15:00+00:00,2026-02-12 14:00:00+00:00,-17.3,-110.39,0.75,LOSS,STRONG_TREND,0.625,9889.61
USD_CAD,M15,BUY,1.3583199977874756,1.3632405421563558,2026-02-12 14:45:00+00:00,2026-02-12 16:15:00+00:00,49.2,237.26,0.65,WIN,TREND,0.625,10126.88
USD_CAD,M15,BUY,1.3618199825286865,1.3601860318865096,2026-02-13 11:00:00+00:00,2026-02-13 13:45:00+00:00,-16.3,-111.74,0.8,LOSS,TREND,0.625,10015.14
USD_CAD,M15,BUY,1.3618899583816528,1.3591385356017522,2026-02-13 16:15:00+00:00,2026-02-13 17:45:00+00:00,-27.5,-106.09,0.47,LOSS,TREND,0.625,9909.05
USD_CAD,M15,BUY,1.3615700006484985,1.3650655895471573,2026-02-16 10:00:00+00:00,2026-02-17 07:15:00+00:00,35.0,234.88,0.92,WIN,TREND,0.625,10143.93
USD_CAD,M15,BUY,1.3653000593185425,1.3690312675067358,2026-02-17 13:00:00+00:00,2026-02-17 15:30:00+00:00,37.3,240.63,0.88,WIN,TREND,0.625,10384.56
USD_CAD,M15,BUY,1.3658900260925293,1.3647617740290505,2026-02-18 07:15:00+00:00,2026-02-18 10:00:00+00:00,-11.3,-120.88,1.2,LOSS,STRONG_TREND,0.625,10263.68
USD_CAD,M15,BUY,1.369089961051941,1.3674377841608865,2026-02-19 12:00:00+00:00,2026-02-19 15:45:00+00:00,-16.5,-114.27,0.81,LOSS,STRONG_TREND,0.625,10149.4
USD_CAD,M15,BUY,1.3692200183868408,1.3678721572671617,2026-02-20 08:15:00+00:00,2026-02-20 09:15:00+00:00,-13.5,-115.29,0.98,LOSS,STRONG_TREND,0.625,10034.11
USD_CAD,M15,BUY,1.3697799444198608,1.368023863860539,2026-02-20 14:30:00+00:00,2026-02-20 15:00:00+00:00,-17.6,-110.32,0.74,LOSS,TREND,0.625,9923.79
USD_CAD,M15,BUY,1.368340015411377,1.3665100080626351,2026-02-20 15:00:00+00:00,2026-02-23 00:00:00+00:00,-18.3,-108.34,0.7,LOSS,TREND,0.625,9815.45
USD_CAD,M15,BUY,1.3685100078582764,1.3671439588069916,2026-02-23 11:45:00+00:00,2026-02-23 14:15:00+00:00,-13.7,-110.71,0.93,LOSS,TREND,0.625,9704.74
USD_CAD,M15,BUY,1.3711999654769897,1.369841388293675,2026-02-24 12:15:00+00:00,2026-02-24 16:15:00+00:00,-13.6,-110.18,0.93,LOSS,TREND,0.625,9594.56
USD_CAD,M15,BUY,1.3689199686050415,1.367694275719779,2026-02-25 08:15:00+00:00,2026-02-25 15:00:00+00:00,-12.3,-110.4,1.02,LOSS,STRONG_TREND,0.625,9484.16
USD_CAD,M15,BUY,1.3680200576782227,1.366542556456157,2026-02-26 10:45:00+00:00,2026-02-27 03:15:00+00:00,-14.8,-105.93,0.83,LOSS,TREND,0.625,9378.23
USD_CAD,M15,BUY,1.3660399913787842,1.3645732062203544,2026-03-02 07:00:00+00:00,2026-03-02 09:00:00+00:00,-14.7,-105.25,0.83,LOSS,TREND,0.625,9272.98
USD_CAD,M15,BUY,1.3684899806976318,1.3731025180646352,2026-03-03 08:00:00+00:00,2026-03-03 14:45:00+00:00,46.1,221.85,0.65,WIN,TREND,0.625,9494.83
USD_CAD,M15,BUY,1.3669999837875366,1.3653210742133004,2026-03-06 10:00:00+00:00,2026-03-06 10:45:00+00:00,-16.8,-104.49,0.73,LOSS,TREND,0.625,9390.34
